id,Name,titleProject_id,class,score
9684950611,Сербин Геннадий Михаилович,7,8в,2
11170252153,Папандина Клавдия Яковлевна,304,9в,5
9601075512,Белагина Галина Андреевна,396,9а,4
8067795756,Кижняева Анна Леонидовна,178,7и,2
7161981940,Цывин Олег Яковлевич,446,7т,2
12223575710,Жидняева Ксения Эдуардовна,373,7х,4
9652242461,Липковский Анатолий Иванович,144,10а,2
9970522702,Меднова Наталья Богдановна,290,7и,5
10149358123,Житихин Вячеслав Романович,141,9а,5
10752641969,Шеврина Полина Максимовна,33,11а,5
10005762502,Алпеев Валентин Данилович,323,8а,2
9674751304,Золикова Клара Игоревна,364,10х,2
9851887025,Дориков Дмитрий Петрович,296,10г,5
10671994895,Корабышев Кирилл Михаилович,302,8и,5
13637284384,Ростовиков Константин Николаевич,336,10а,2
9123107058,Нехаев Дмитрий Фёдорович,129,7х,4
8148884896,Зызлова Мария Николаевна,430,8г,3
10936920648,Королупов Валерий Тимофеевич,397,10д,5
10196313509,Стенцов Евгений Яковлевич,315,8и,4
11876094061,Феклисов Константин Виталиевич,270,9т,None
9262893553,Синелев Руслан Тимофеевич,300,8и,2
9130189120,Опевалова Вера Евгеньевна,473,9д,5
12093603325,Назерова Вероника Василевна,206,7б,5
11742051047,Дименская Светлана Дмитриевна,387,9д,5
9883590345,Ковторева Раиса Василевна,482,9и,2
11601765628,Кулишнин Вячеслав Яковлевич,386,11х,5
9697411676,Лексин Кирилл Антонович,139,7в,5
10490840661,Лаковский Григорий Василиевич,240,7д,5
13687103156,Барамыкова Александра Алексеевна,106,10а,3
9571785955,Плясулина Оксана Андреевна,346,8х,2
10599489581,Петрикеев Станислав Яковлевич,14,7и,4
7850645890,Моторыгин Илья Георгиевич,238,10и,5
9036278019,Рыков Тарас Павлович,174,10и,5
12213984963,Иончикова Елизавета Егоровна,169,8д,5
10555517934,Смолькина Алиса Егоровна,441,7г,5
9192009844,Оболенин Герасим Павлович,472,7и,4
11358939814,Трощинский Георгий Борисович,67,9д,3
11041439194,Поддубская Лиза Игоревна,496,10а,4
7031704430,Телькова Валерия Олеговна,335,7х,4
12267567128,Чигварина Александра Алексеевна,428,10б,2
8022025161,Киреевский Артур Игоревич,119,7в,3
8424750012,Шумейкин Роман Павлович,420,8в,5
11101133792,Трушинов Максим Алексиевич,82,8и,4
8523125852,Голюков Денис Сергеевич,62,11б,4
10772105227,Хлиманкова Надежда Валерьевна,461,10б,3
12014239422,Кулаженков Алексей Олегович,367,10в,2
9597762045,Бутукин Владимир Адамович,221,7х,5
8689433073,Поддуев Леонид Олегович,149,9х,4
8997725004,Ревцев Василий Павлович,360,9х,5
8400871977,Старокожев Артём Юрьевич,46,8д,3
10262889913,Светошев Максим Михаилович,321,10х,2
11905978185,Старынина Кристина Федоровна,266,9д,3
10907478686,Востров Дмитрий Денисович,282,9г,3
12477517118,Бураханова Анастасия Леонидовна,16,8г,2
8395938564,Понизов Виктор Кириллович,214,11и,5
9355299903,Суздалев Валерий Алексеевич,66,11т,5
11075599516,Колендин Дмитрий Алексеевич,153,10в,4
12969197315,Сулькова Екатерина Андреевна,325,8и,4
11224897143,Аржевитова Надежда Федоровна,242,10в,2
9341857356,Крассов Валерий Олегович,201,8х,5
7227457504,Сонураева Инна Андреевна,450,9т,3
9146299742,Пашин Роман Вадимович,204,10д,2
12305077016,Фичкина Евгения Федоровна,29,11д,3
9201576400,Свилин Олег Виталиевич,123,8в,2
10089027601,Рогоцкий Андрей Адамович,142,9в,2
8875807516,Ахантьев Игорь Валериевич,80,10д,5
10226941998,Сочиникова Ксения Кирилловна,100,10д,2
8735673157,Остюков Артур Романович,329,11и,3
11770504995,Брюкина Оксана Викторовна,98,8в,5
7419535417,Кузовенков Игорь Юрьевич,322,9г,None
9219691637,Калухов Тарас Иванович,207,11а,3
7784446986,Батыров Пётр Виталиевич,227,7и,3
9803898993,Озрина Катерина Валерьевна,147,10а,4
11258884207,Декалова Полина Леонидовна,470,11д,5
10462395692,Лосицкий Владимир Кириллович,369,9т,5
8480321932,Магнусов Пётр Максимович,437,7и,5
10721840425,Лавренков Михаил Василиевич,188,9б,2
9958704699,Шушкалова Вероника Алексеевна,411,8т,5
12671126514,Бороданова Маргарита Дмитриевна,118,7г,5
9879732405,Циркина Виолетта Федоровна,231,9г,2
13128092947,Болохина Екатерина Андреевна,194,11д,3
8648580781,Чукалова Дарья Валерьевна,20,10г,4
8397095725,Беловолов Степан Петрович,222,9д,2
10456774461,Зудейкина Вероника Ивановна,166,8и,3
7704433737,Макунова Мария Борисовна,47,9в,5
12502996147,Верзанский Геннадий Андреевич,497,7д,5
11977592728,Алтубин Ярослав Леонидович,414,10г,5
6858659139,Аузин Игорь Алексиевич,435,8х,5
10155994995,Калыгин Степан Тимофеевич,353,8и,2
9903466660,Дурныгина Полина Игоревна,72,8и,2
12944731434,Антюфеева Александра Вадимовна,347,8и,2
10528077450,Лощинский Борис Романович,210,10б,3
11471547704,Ходорков Евгений Виталиевич,344,9г,5
8530679226,Кафорин Федор Данилович,427,10д,3
11093950457,Косынская Алиса Дмитриевна,40,9в,3
8688351790,Беремцев Артём Антонович,434,11т,2
8026252359,Влянская Мария Андреевна,490,7т,4
8314819052,Мыгеева Лиза Василевна,280,8в,5
9046031815,Акутникова Мария Алексеевна,173,11в,2
10286217618,Карябкин Константин Максимович,89,7и,2
