id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,sgZroR5S
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,V5o86Imp
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,OHjDsEks
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,mPqFJMOq
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,8Rlh7lfx
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,tkk3GKcN
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,aetsKzsn
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,0rXyLPgq
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,rRcELUxN
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,KBpEW88C
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,ZhoBYqNw
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,RpJa9D0X
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,pp9XsRZk
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,JVNjim3j
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,zKfjeq5L
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,e99pQhXK
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,whyFvYw8
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,ElQOzOeJ
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,FvQbAqDW
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,4aV0RaIe
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,uhpCTPih
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,S3VRSWFw
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,dFV9WZ9C
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,P8R7pskT
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,RH4LmTKa
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,TmWjMfE8
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,6U7jYpM9
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,r9cNyvO9
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,IYPhgZ9p
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,RqlwwUdK
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,fd2Wx3mo
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,tN76Bb1l
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,hw9VgYhW
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,kCfDkcFu
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,SozZAuTn
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,8agzyQeA
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,rToPTbDt
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,rzy7XLC3
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,OZM5ZUhb
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,yjHRTwER
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,hFVCNWZK
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,D82d4tpD
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,z07U2aZK
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,cWiyFD7p
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,2bKbhp1v
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,7UhabATg
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,FEW1EQKf
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,MVzjUfq0
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,lmSY9jBp
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,ehjdiHcV
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,mcAKM4Ao
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,sPKcQeZs
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,OFTQcvxf
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,eyvBR4hP
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,8N0UPyK3
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,WOX5ghNq
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,MEb2XudN
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,C923KyOs
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,CNumdAj1
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,plnEJIwS
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,wxkYcXrm
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,TiiRkQA4
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,iCsbWl1X
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,CMTMs8Dp
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,VkTNTZXq
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,L0kCdMkT
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,wIM1u1zD
67,Остюков Артур Романович,329,11и,3,Остюков_АР,YiG9NQrx
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,hEMV8Ybd
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,0s3ldAv9
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,FnZ98WFz
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,Y0VGyX6j
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,xAeRAXsl
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,CuOzOaQ4
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,zCInxAqp
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,BXSZXUYL
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,eOa7K7b2
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,dUkLN2Ax
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,IcCvLj9J
